frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
4.041666508	1008.299988	-0.103213519	-1.596667409	27.79999924	76	0	0	0.033333335	29
4.083333492	1008.099976	-0.742307067	-1.529372454	27.29999924	77	0	0	0.016666668	29
4.125	1008	-0.916967571	-1.889224768	27.20000076	78	0	0	0	29
4.166666508	1007.700012	-0.785972238	-1.619335532	27.10000038	78	0	0	0.033333335	29
4.208333492	1007.599976	-0.122566052	-1.896042585	27	78	0	0	0.06666667	29
4.25	1007.599976	-0.523981452	-1.079557061	26.70000076	80	0	2.777777672	0.100000001	29
4.291666508	1008.099976	-1.135293245	-2.339040279	26.79999924	80	0	38.88888931	0.06666667	29
4.333333492	1008.299988	-1.711439013	-1.536546946	28.39999962	73	0	191.6666718	0.033333335	29
4.375	1008.5	-2.009080648	-1.803772449	29.79999924	67	0	405.555542	0	29
4.416666508	1008.599976	-2.827594995	-2.538642645	30.60000038	62	0	597.222229	0.06666667	29
4.458333492	1008.5	-3.765269279	-1.350091577	31.79999924	59	0	791.666687	0.13333334	29
4.5	1008.099976	-4.595740795	0.197902277	31.79999924	53	0	922.222229	0.200000003	29
4.541666508	1007.5	-4.695648193	0.202204496	31.60000038	57	0	969.444458	0.233333334	29
4.583333492	1006.799988	-4.634970188	2.127687454	31.60000038	59	0	902.777771	0.266666681	29
4.625	1006.400024	-2.52995348	-2.271417141	32.40000153	54	0	805.555542	0.300000012	29
4.666666508	1006.400024	-3.482874155	-1.248834729	32	58	0	694.444458	0.300000012	29
4.708333492	1006.799988	-2.902005434	-2.605448961	31	60	0	386.1111145	0.300000012	29
4.75	1007	-3.577005863	-1.282587051	30.60000038	60	0	291.6666565	0.300000012	29
4.791666508	1007.299988	-2.009080648	-1.803772449	29.60000038	66	0	72.22222137	0.266666681	29
4.833333492	1007.5	-0.916967571	-1.889224768	29.10000038	70	0	8.333333015	0.233333334	29
4.875	1008.200012	-0.698641956	-1.439409375	28.70000076	72	0	0	0.200000003	29
4.916666508	1008.700012	-0.829637349	-1.709298611	28.5	72	0	0	0.166666672	29
4.958333492	1008.700012	-0.785972238	-1.619335532	28.29999924	73	0	0	0.13333334	29
5	1008.599976	-0.161271125	-2.494792938	28	74	0	0	0.100000001	29
5.041666508	1008.400024	-0.116115212	-1.796250939	28.10000038	73	0	0	0.06666667	29
5.083333492	1008.599976	0.380629539	-1.138033867	27.89999962	74	0	0	0.033333335	29
