Title=free-surface from YAEYAMA2 Test Case				
				
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"				
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)			
562179584	0.5157864
562183168	0.3499134
562186816	0.3206354
562190400	0.4256254
562193984	0.6294294
562197632	0.8772984
562201216	1.1089254
562204800	1.27995	
562208384	1.3513715
562211968	1.3153045
562215616	1.1902545
562219200	1.02524	
562222784	0.8714685
562226432	0.7799665
562230016	0.7801675
562233600	0.8865725
562237184	1.0677625
562240768	1.2683355
562244416	1.4405485
562248000	1.54248	
562251584	1.5516295
562255232	1.4454055
562258816	1.2495835
562262400	0.9926535
562265984	0.7371315
562269568	0.5406675
562273216	0.4334255
562276800	0.4428615
562280384	0.5519065
562284032	0.7295825
562287616	0.9317015
562291200	1.1068196
562294784	1.2260466
562298368	1.2724136
562302016	1.2419246
562305600	1.1464776
562309184	1.0282026
562312832	0.9287986
562316416	0.8860936
562320000	0.9207846
562323584	1.0238866
562327168	1.1697466
562330816	1.3173266
562334400	1.4305626
562337984	1.4769546
562341632	1.4428826
562345216	1.3272976
562348800	1.1486076
562352384	0.9353536
562355968	0.7275136
562359616	0.5722176
562363200	0.4998236
562366784	0.51696	
562370432	0.6131656
562374016	0.7597776
562377600	0.9234457
562381184	1.0651567
562384768	1.1666017
562388416	1.2094437
562392000	1.1882717
562395584	1.1245327
562399232	1.04471	
562402816	0.9736057
562406400	0.9461377
562409984	0.9652787
562413568	1.0347267
562417216	1.1352727
562420800	1.2372357
562424384	1.3154587
562428032	1.3511417
562431616	1.3326867
562435200	1.24685	
562438784	1.1125377
562442368	0.9521527
562446016	0.7823	
562449600	0.6490327
562453184	0.57081	
562456832	0.5618387
562460416	0.6199367
562464000	0.7221118
562467584	0.8555198
562471168	0.9871888
562474816	1.0879758
562478400	1.1507268
562481984	1.16864	
562485632	1.1342668
562489216	1.0718928
562492800	1.0022468
562496384	0.9446248
562499968	0.9328628
562503616	0.96059	
562507200	1.0147888
562510784	1.0924858
562514432	1.16867	
562518016	1.22416	
562521600	1.23507	
562525184	1.1989758
562528768	1.1091478
562532416	0.9792818
562536000	0.8322938
562539584	0.6931958
562543232	0.5979238
562546816	0.5608498
562550400	0.5926119
562553984	0.69048	
562557568	0.8356859
562561216	0.9924959
562564800	1.1366189
562568384	1.2368329
562572032	1.2754819
562575616	1.2524949
562579200	1.1795459
562582784	1.0758279
562586368	0.9719739
562590016	0.8981369
562593600	0.8703979
562597184	0.9008739
562600832	0.9775429
562604416	1.0747669
562608000	1.1697299
562611584	1.2301929
562615168	1.2309529
562618816	1.1623879
562622400	1.0342769
562625984	0.8640029
562629632	0.6889199
562633216	0.5527629
562636800	0.4835850
562640384	0.5049690
562643968	0.6135250
562647616	0.7780260
562651200	0.9630740
562654784	1.1358540
562658432	1.2581290
562662016	1.2966530
562665600	1.2490840
562669184	1.1236	
562672768	0.9660150
562676416	0.81211	
562680000	0.7060270
562683584	0.6681860
562687232	0.7129680
562690816	0.8286040
562694400	0.9926930
562697984	1.1594580
562701568	1.2783230
562705216	1.3237060
562708800	1.2543270
562712384	1.0968450
562716032	0.88636	
562719616	0.6725170
562723200	0.5104941
562726784	0.4373351
562730368	0.4790431
562734016	0.6238221
562737600	0.8362981
562741184	1.0749461
562744832	1.2856011
562748416	1.4088851
562752000	1.4176161
562755584	1.3056641
562759168	1.1059771
562762816	0.8678771
562766400	0.6505551
562769984	0.5181281
562773632	0.4969271
562777216	0.5927031
562780800	0.7843921
562784384	1.0201961
562787968	1.2411791
562791616	1.3936271
562795200	1.4248621
562798784	1.3273711
562802432	1.1210511
562806016	0.8584831
562809600	0.60426	
562813184	0.42059	
562816768	0.357559
562820416	0.43223	
562824000	0.629813
562827584	0.902269
562831232	1.177127
562834816	1.389348
562838400	1.487006
562841984	1.431676
562845568	1.238549
562849216	0.953937
562852800	0.646131
562856384	0.403368
562860032	0.27829	
562863616	0.30352	
562867200	0.475862
562870784	0.747844
562874368	1.052631
562878016	1.308464
562881600	1.46083	
562885184	1.458707
562888832	1.298961
562892416	1.033774
562896000	0.721201
562899584	0.447569
562903168	0.279954
562906816	0.264908
562910400	0.418339
562913984	0.694738
562917632	1.024088
562921216	1.329721
562924800	1.531323
562928384	1.566511
562931968	1.433063
562935616	1.152911
562939200	0.794211
562942784	0.447945
562946432	0.202109
562950016	0.123188
562953600	0.232033
562957184	0.491879
562960768	0.850284
562964416	1.19678	
562968000	1.465428
562971584	1.582561
562975232	1.513116
562978816	1.282748
562982400	0.94797	
562985984	0.601398
562989568	0.327385
562993216	0.208097
562996800	0.288048
563000384	0.539185
563004032	0.893516
563007616	1.249917
563011200	1.537016
563014784	1.674716
563018368	1.618123
563022016	1.364836
563025600	0.985439
563029184	0.565198
563032832	0.202164
563036416	-0.00898
563040000	-0.01800
563043584	0.172286
563047168	0.511651
563050816	0.91454	
563054400	1.282363
563057984	1.525954
563061632	1.590782
563065216	1.462466
563068800	1.184062
563072384	0.820503
563075968	0.475905
563079616	0.251845
563083200	0.203521
563086784	0.356945
563090432	0.664033
563094016	1.052743
563097600	1.408359
563101184	1.644736
563104768	1.704704
563108416	1.553942
563112000	1.224974
563115584	0.78004	
563119232	0.334286
563122816	0.001326
563126400	-0.13241
563129984	-0.04313
563133568	0.230378
563137216	0.629485
563140800	1.056664
563144384	1.413661
563148032	1.620239
563151616	1.629575
563155200	1.445806
563158784	1.115333
563162368	0.737361
563166016	0.42404	
563169600	0.258022
563173184	0.29587	
563176832	0.515815
563180416	0.865282
563184000	1.25676	
563187584	1.586223
563191168	1.744728
563194816	1.687909
563198400	1.414859
563201984	1.002795
563205632	0.515197
563209216	0.068325
563212800	-0.22422
563216384	-0.30297
563219968	-0.15175
563223616	0.171069
563227200	0.592758
563230784	1.01754	
563234432	1.353403
563238016	1.51773	
563241600	1.471853
563245184	1.239615
563248768	0.894303
563252416	0.538351
563256000	0.289466
563259584	0.206142
563263232	0.32295	
563266816	0.603467
563270400	0.974129
563273984	1.345808
563277568	1.631337
563281216	1.743498
563284800	1.643414
563288384	1.326801
563292032	0.876481
563295616	0.39525	
563299200	-0.00509
563302784	-0.23053
563306368	-0.23057
563310016	-0.03666
563313600	0.310807
563317184	0.730255
563320832	1.12355	
563324416	1.39372	
563328000	1.489233
563331584	1.39229	
563335168	1.142025
563338816	0.814157
563342400	0.513547
563345984	0.32691	
563349632	0.318867
563353216	0.485651
563356800	0.781727
563360384	1.136726
563363968	1.450951
563367616	1.652025
563371200	1.676613
563374784	1.520059
563378432	1.180842
563382016	0.74319	
563385600	0.30487	
563389184	-0.03840
563392768	-0.2066	
563396416	-0.17503
563400000	0.041005
563403584	0.380839
563407232	0.759085
563410816	1.085205
563414400	1.294289
563417984	1.343782
563421568	1.2307	
563425216	1.004615
563428800	0.728733
563432384	0.491262
563436032	0.376407
563439616	0.412063
563443200	0.590303
563446784	0.860614
563450368	1.163903
563454016	1.42011	
563457600	1.564666
563461184	1.542388
563464832	1.352464
563468416	1.019955
563472000	0.621662
563475584	0.238229
563479168	-0.03739
563482816	-0.15156
563486400	-0.08395
563489984	0.122215
563493632	0.419587
563497216	0.746935
563500800	1.023996
563504384	1.200546
563507968	1.24335	
563511616	1.161391
563515200	0.982328
563518784	0.763291
563522432	0.588348
563526016	0.506564
563529600	0.552281
563533184	0.712237
563536768	0.942009
563540416	1.189241
563544000	1.388384
563547584	1.485861
563551232	1.447782
563554816	1.270689
563558400	0.986467
563561984	0.648802
563565568	0.33007	
