Title=potential temperature from YAEYAMA2 Test Case

Legend=(s_rho, eta_rho, xi_rho) = (-0.966667, 23.9666, 123.603)
ocean_time (seconds since 2000-01-01 00:00:00)	temp (Celsius)
615146368.000000	20.850939
615150016.000000	20.660507
615153600.000000	20.357676
615157184.000000	20.182592
615160832.000000	19.827148
615164416.000000	19.787788
615168000.000000	19.569790
615171584.000000	19.865276
615175168.000000	20.226625
615178816.000000	20.721823
615182400.000000	20.773886
615185984.000000	20.757896
615189632.000000	20.901672
615193216.000000	21.070465
615196800.000000	20.956938
615200384.000000	20.184614
615203968.000000	19.923824
615207616.000000	19.951233
615211200.000000	20.128595
615214784.000000	20.497202
615218432.000000	20.624155
615222016.000000	20.600677
615225600.000000	20.783802
615229184.000000	20.881002
615232768.000000	20.755035
615236416.000000	20.867691
615240000.000000	20.880301
615243584.000000	20.618340
615247232.000000	20.294117
615250816.000000	19.810137
615254400.000000	19.893919
615257984.000000	20.557198
615261568.000000	21.064173
615265216.000000	21.172335
615268800.000000	21.392954
615272384.000000	21.343288
615276032.000000	21.166386
615279616.000000	21.176489
615283200.000000	21.186102
615286784.000000	20.876219
615290368.000000	20.074724
615294016.000000	19.800533
615297600.000000	19.780397
615301184.000000	19.752388
615304832.000000	20.101101
615308416.000000	20.875912
615312000.000000	21.413937
615315584.000000	21.333862
615319168.000000	20.896292
615322816.000000	20.911943
615326400.000000	20.954216
615329984.000000	20.821667
615333632.000000	20.486202
615337216.000000	20.333288
615340800.000000	20.493429
615344384.000000	20.607973
615347968.000000	20.276325
615351616.000000	20.546253
615355200.000000	21.167778
615358784.000000	21.202045
615362432.000000	21.020557
615366016.000000	20.977131
615369600.000000	21.088207
615373184.000000	20.731634
615376768.000000	20.715469
615380416.000000	20.453630
615384000.000000	20.117409
615387584.000000	20.086763
615391232.000000	20.324461
615394816.000000	20.889721
615398400.000000	20.986633
615401984.000000	21.089977
615405568.000000	20.949312
615409216.000000	20.822779
615412800.000000	21.031782
615416384.000000	21.104364
615420032.000000	20.777170
615423616.000000	20.341257
615427200.000000	20.477812
615430784.000000	20.969740
615434368.000000	21.086164
615438016.000000	21.095272
615441600.000000	20.944553
615445184.000000	21.164484
615448832.000000	21.055464
615452416.000000	21.080523
615456000.000000	21.461054
615459584.000000	21.391933
615463168.000000	20.863079
615466816.000000	20.224476
615470400.000000	20.215723
615473984.000000	20.374134
615477632.000000	20.302017
615481216.000000	20.340086
615484800.000000	20.243170
615488384.000000	20.563843
615491968.000000	20.887867
615495616.000000	20.798603
615499200.000000	20.923275
615502784.000000	21.123390
615506432.000000	21.222162
615510016.000000	21.143677
615513600.000000	20.942167
615517184.000000	20.748224
615520768.000000	21.056318
615524416.000000	21.587772
615528000.000000	22.002007
615531584.000000	22.082186
615535232.000000	21.840050
615538816.000000	21.682695
615542400.000000	21.488737
615545984.000000	21.525993
615549568.000000	21.727446
615553216.000000	21.968233
615556800.000000	20.768736
615560384.000000	20.298586
615564032.000000	20.498989
615567616.000000	20.695396
615571200.000000	21.117132
615574784.000000	20.977226
615578368.000000	21.046246
615582016.000000	21.258736
615585600.000000	21.210600
615589184.000000	21.284967
615592832.000000	21.546543
615596416.000000	21.003780
615600000.000000	20.574068
615603584.000000	20.876514
615607168.000000	21.561209
615610816.000000	21.965237
615614400.000000	21.947186
615617984.000000	22.004913
615621632.000000	21.988136
615625216.000000	21.584818
615628800.000000	21.536579
615632384.000000	21.702995
615635968.000000	21.765764
615639616.000000	21.651438
615643200.000000	20.666231
615646784.000000	20.268095
615650432.000000	20.331884
615654016.000000	20.519684
615657600.000000	20.974409
615661184.000000	21.721729
615664768.000000	22.004766
615668416.000000	21.489342
615672000.000000	21.635727
615675584.000000	21.626308
615679232.000000	21.747755
615682816.000000	21.794640
615686400.000000	21.333639
615689984.000000	20.630981
615693568.000000	20.821918
615697216.000000	21.313866
615700800.000000	21.784479
615704384.000000	21.942347
615708032.000000	21.677126
615711616.000000	21.828289
615715200.000000	21.949310
615718784.000000	22.285093
615722368.000000	22.435116
615726016.000000	22.278496
615729600.000000	21.132826
615733184.000000	20.605413
615736832.000000	20.764614
615740416.000000	20.827240
615744000.000000	20.985153
615747584.000000	21.355951
615751168.000000	21.981831
615754816.000000	22.282745
615758400.000000	21.703886
615761984.000000	21.679680
615765632.000000	21.421974
615769216.000000	21.563931
615772800.000000	21.732899
615776384.000000	21.432306
615779968.000000	21.070858
615783616.000000	20.768639
615787200.000000	20.838837
615790784.000000	21.082363
615794432.000000	21.599739
615798016.000000	22.174479
615801600.000000	22.221033
615805184.000000	22.000317
615808768.000000	22.082956
615812416.000000	22.075552
615816000.000000	21.893137
615819584.000000	21.360123
615823232.000000	21.180712
615826816.000000	21.150818
615830400.000000	21.002222
615833984.000000	20.907141
615837568.000000	21.125898
615841216.000000	21.533913
615844800.000000	21.978374
615848384.000000	22.101353
615852032.000000	22.023430
615855616.000000	21.761187
615859200.000000	21.725197
615862784.000000	21.424232
615866368.000000	21.017508
615870016.000000	20.768063
615873600.000000	20.880501
615877184.000000	21.197676
615880832.000000	21.452307
615884416.000000	21.970764
615888000.000000	21.928949
615891584.000000	21.908623
615895168.000000	22.139565
615898816.000000	22.389904
615902400.000000	22.301140
615905984.000000	22.118118
615909632.000000	21.604403
615913216.000000	20.944941
615916800.000000	20.951647
615920384.000000	20.987333
615923968.000000	21.067862
615927616.000000	21.468996
615931200.000000	22.179321
615934784.000000	22.624109
615938432.000000	22.639668
615942016.000000	22.022791
615945600.000000	21.949202
615949184.000000	21.791737
615952768.000000	21.804110
615956416.000000	21.615147
615960000.000000	21.336273
615963584.000000	21.106995
615967232.000000	21.342186
615970816.000000	21.665411
615974400.000000	22.260841
615977984.000000	22.697330
615981568.000000	22.889135
615985216.000000	22.952505
615988800.000000	22.778986
615992384.000000	22.240274
615996032.000000	21.459476
615999616.000000	20.920248
616003200.000000	20.765047
616006784.000000	20.841408
616010368.000000	20.830296
616014016.000000	20.768578
616017600.000000	20.994909
616021184.000000	21.450010
616024832.000000	21.806581
616028416.000000	22.202633
616032000.000000	22.184952
616035584.000000	22.031981
616039168.000000	22.049185
616042816.000000	21.975676
616046400.000000	21.812160
616049984.000000	21.557220
616053632.000000	21.242031
616057216.000000	21.110386
616060800.000000	21.395531
616064384.000000	21.966404
616067968.000000	22.024611
616071616.000000	21.975744
616075200.000000	21.806215
616078784.000000	21.652618
616082432.000000	21.721853
616086016.000000	21.746687
616089600.000000	21.518890
616093184.000000	21.222420
616096768.000000	21.014002
616100416.000000	21.317780
616104000.000000	21.498487
616107584.000000	21.464878
616111232.000000	21.461161
616114816.000000	21.683342
616118400.000000	21.954191
616121984.000000	21.868998
616125568.000000	21.768026
616129216.000000	21.740118
616132800.000000	21.793837
616136384.000000	21.670391
616140032.000000	21.270052
616143616.000000	20.888891
616147200.000000	20.789028
616150784.000000	20.919590
616154368.000000	21.529995
616158016.000000	21.621532
616161600.000000	22.036520
616165184.000000	22.211542
616168832.000000	22.206301
616172416.000000	22.066153
616176000.000000	21.880648
616179584.000000	21.643915
616183168.000000	21.475155
616186816.000000	21.418333
616190400.000000	21.364090
616193984.000000	21.317236
616197632.000000	21.649879
616201216.000000	21.977137
616204800.000000	21.931303
616208384.000000	21.825483
616211968.000000	22.025545
616215616.000000	22.314991
616219200.000000	22.522984
616222784.000000	22.429640
